,Player,POS,Valuation
1419,Ionut Radu,Goalkeeper,£13.50m
1422,Jandrei,Goalkeeper,£1.80m
1425,Federico Marchetti,Goalkeeper,£270k
1428,Cristian Romero,Centre-Back,£13.50m
1431,Davide Biraschi,Centre-Back,£4.05m
1434,Cristián Zapata,Centre-Back,£1.80m
1437,Edoardo Goldaniga,Centre-Back,£1.80m
1440,Jawad El Yamiq,Centre-Back,£720k
1443,Antonio Barreca,Left-Back,£6.30m
1446,Domenico Criscito,Left-Back,£3.60m
1449,Marko Pajac,Left-Back,£1.35m
1452,Peter Ankersen,Right-Back,£2.70m
1455,Paolo Ghiglione,Right-Back,£2.25m
1458,Lasse Schöne,Defensive Midfield,£2.70m
1461,Ivan Radovanovic,Defensive Midfield,£2.70m
1464,Sandro,Defensive Midfield,£1.80m
1467,Stefano Sturaro,Central Midfield,£9.00m
1470,Lukas Lerager,Central Midfield,£5.40m
1473,Francesco Cassata,Central Midfield,£3.15m
1476,Filip Jagiello,Central Midfield,£1.35m
1479,Kevin Agudelo,Central Midfield,£1.17m
1482,Riccardo Saponara,Attacking Midfield,£3.60m
1485,Sinan Gümüs,Right Winger,£1.17m
1488,Goran Pandev,Second Striker,£360k
1491,Christian Kouamé,Centre-Forward,£19.80m
1494,Andrea Pinamonti,Centre-Forward,£13.50m
1497,Antonio Sanabria,Centre-Forward,£8.10m
1500,Andrea Favilli,Centre-Forward,£5.40m
1503,Pierluigi Gollini,Goalkeeper,£7.20m
1506,Marco Sportiello,Goalkeeper,£3.60m
1509,Francesco Rossi,Goalkeeper,£90k
1512,Rafael Tolói,Centre-Back,£9.90m
1515,José Luis Palomino,Centre-Back,£9.00m
1518,Simon Kjaer,Centre-Back,£7.20m
1521,Berat Djimsiti,Centre-Back,£6.75m
1524,Roger Ibañez,Centre-Back,£2.70m
1527,Andrea Masiello,Centre-Back,£900k
1530,Robin Gosens,Left-Back,£10.80m
1533,Guilherme Arana,Left-Back,£2.70m
1536,Timothy Castagne,Right-Back,£16.20m
1539,Hans Hateboer,Right-Back,£13.50m
1542,Marten de Roon,Central Midfield,£21.60m
1545,Remo Freuler,Central Midfield,£18.00m
1548,Ruslan Malinovskyi,Central Midfield,£11.25m
1551,Mario Pasalic,Central Midfield,£9.00m
1554,Josip Ilicic,Second Striker,£15.30m
1557,Papu Gómez,Second Striker,£14.40m
1560,Duván Zapata,Centre-Forward,£40.50m
1563,Luis Muriel,Centre-Forward,£13.50m
1566,Musa Barrow,Centre-Forward,£4.50m
1569,Gianluigi Donnarumma,Goalkeeper,£49.50m
1572,Pepe Reina,Goalkeeper,£900k
1575,Antonio Donnarumma,Goalkeeper,£450k
1578,Alessio Romagnoli,Centre-Back,£45.00m
1581,Mattia Caldara,Centre-Back,£18.00m
1584,Mateo Musacchio,Centre-Back,£13.50m
1587,Léo Duarte,Centre-Back,£7.20m
1590,Matteo Gabbia,Centre-Back,£450k
1593,Theo Hernández,Left-Back,£16.20m
1596,Ricardo Rodríguez,Left-Back,£11.70m
1599,Davide Calabria,Right-Back,£16.20m
1602,Andrea Conti,Right-Back,£13.50m
1605,Ismaël Bennacer,Defensive Midfield,£15.30m
1608,Lucas Biglia,Defensive Midfield,£5.40m
1611,Franck Kessié,Central Midfield,£27.00m
1614,Giacomo Bonaventura,Central Midfield,£18.00m
1617,Rade Krunic,Central Midfield,£7.20m
1620,Lucas Paquetá,Attacking Midfield,£31.50m
1623,Hakan Calhanoglu,Left Winger,£16.20m
1626,Fabio Borini,Left Winger,£6.30m
1629,Suso,Right Winger,£29.70m
1632,Samu Castillejo,Right Winger,£13.50m
1635,Ante Rebic,Second Striker,£36.00m
1638,Krzysztof Piatek,Centre-Forward,£36.00m
1641,Rafael Leão,Centre-Forward,£19.80m
