,Player,POS,Valuation
1443,Mark Travers,Goalkeeper,£225k
1446,Nathan Aké,Centre-Back,£31.50m
1449,Chris Mepham,Centre-Back,£11.70m
1452,Steve Cook,Centre-Back,£9.00m
1455,Jack Simpson,Centre-Back,£1.35m
1458,Lloyd Kelly,Left-Back,£8.10m
1461,Diego Rico,Left-Back,£6.30m
1464,Charlie Daniels,Left-Back,£2.70m
1467,Adam Smith,Right-Back,£6.30m
1470,Jack Stacey,Right-Back,£3.60m
1473,Simon Francis,Right-Back,£1.80m
1476,Jefferson Lerma,Defensive Midfield,£22.50m
1479,Lewis Cook,Central Midfield,£18.00m
1482,Philip Billing,Central Midfield,£13.50m
1485,Dan Gosling,Central Midfield,£3.15m
1488,Andrew Surman,Central Midfield,£2.25m
1491,David Brooks,Attacking Midfield,£27.00m
1494,Ryan Fraser,Left Winger,£27.00m
1497,Arnaut Danjuma,Left Winger,£10.80m
1500,Junior Stanislas,Left Winger,£3.15m
1503,Harry Wilson,Right Winger,£16.20m
1506,Jordon Ibe,Right Winger,£7.20m
1509,Joshua King,Second Striker,£18.00m
1512,Callum Wilson,Centre-Forward,£27.00m
1515,Dominic Solanke,Centre-Forward,£16.20m
